Provincias;Ramas de actividad;periodo;Total
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);4.303.764
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;4.029.182
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;4.410.268
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);22.056.871
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;19.692.679
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.214.216
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);21.988.329
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;20.025.926
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;21.637.314
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.619.779
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;8.105.603
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.822.400
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.289.859
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;6.622.699
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.202.099
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);20.786.249
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;18.937.445
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;22.968.344
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.460.982
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.179.622
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.500.825
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);40.657.710
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;37.029.412
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;40.538.496
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);2.531.565
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;2.285.159
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;2.524.615
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);24.421.364
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.388.438
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.643.977
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.460.089
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.098.690
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.394.776
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);13.258.842
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.252.188
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;13.173.524
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);61.410.589
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;56.547.166
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;62.157.518
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.293.892
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;13.541.411
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.635.137
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.582.273
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.226.677
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.514.472
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);27.896.994
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;26.145.786
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;28.155.594
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.765.159
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.655.168
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.774.927
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.616.543
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.514.009
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.625.086
