Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2020;88.884
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2019;88.636
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2022;830.075
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2021;822.309
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2020;816.772
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2019;804.664
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2022;134.421
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2021;134.545
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2020;134.176
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2019;134.137
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2022;713.453
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2021;709.403
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2020;703.772
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2019;694.844
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2022;2.605.757
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2021;2.589.312
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2020;2.591.875
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2019;2.565.124
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2022;517.975
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2021;519.361
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2020;520.649
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2019;519.546
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2022;167.215
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2021;168.725
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2020;170.588
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2019;172.539
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2022;966.438
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2021;967.452
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2020;972.528
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2019;964.693
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2022;83.117
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2021;83.517
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2020;84.202
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2019;84.777
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;85.170
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2021;86.261
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2020;87.076
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2019;86.487
