,periodo,Total,cod_prov,provincias,cod_actividad,ramas de actividad
97,2020,4189893,33,Asturias,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
98,2019,5208875,33,Asturias,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
99,2021,5075288,33,Asturias,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
100,2020,4877413,33,Asturias,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
101,2019,5013066,33,Asturias,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
102,2021,5092263,33,Asturias,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
103,2020,5025246,33,Asturias,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
104,2019,5213870,33,Asturias,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
105,2021,141202,5,Ávila,1," Agricultura, ganadería, silvicultura y pesca"
106,2020,141187,5,Ávila,1," Agricultura, ganadería, silvicultura y pesca"
107,2019,104443,5,Ávila,1," Agricultura, ganadería, silvicultura y pesca"
108,2021,324441,5,Ávila,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
109,2020,264401,5,Ávila,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
110,2019,281793,5,Ávila,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
111,2021,251439,5,Ávila,3, - De las cuales: Industria manufacturera
112,2020,216637,5,Ávila,3, - De las cuales: Industria manufacturera
113,2019,234660,5,Ávila,3, - De las cuales: Industria manufacturera
114,2021,266759,5,Ávila,7, Construcción
115,2020,264628,5,Ávila,7, Construcción
116,2019,272458,5,Ávila,7, Construcción
117,2021,645518,5,Ávila,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
118,2020,556041,5,Ávila,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
119,2019,732257,5,Ávila,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
120,2021,678479,5,Ávila,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
121,2020,651021,5,Ávila,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
122,2019,660029,5,Ávila,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
123,2021,929338,5,Ávila,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
124,2020,929911,5,Ávila,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
125,2019,961361,5,Ávila,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
126,2021,1114803,6,Badajoz,1," Agricultura, ganadería, silvicultura y pesca"
127,2020,828169,6,Badajoz,1," Agricultura, ganadería, silvicultura y pesca"
128,2019,957944,6,Badajoz,1," Agricultura, ganadería, silvicultura y pesca"
129,2021,1424693,6,Badajoz,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
130,2020,1284940,6,Badajoz,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
131,2019,1331190,6,Badajoz,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
132,2021,989504,6,Badajoz,3, - De las cuales: Industria manufacturera
133,2020,880772,6,Badajoz,3, - De las cuales: Industria manufacturera
134,2019,894518,6,Badajoz,3, - De las cuales: Industria manufacturera
135,2021,712482,6,Badajoz,7, Construcción
136,2020,656761,6,Badajoz,7, Construcción
137,2019,766514,6,Badajoz,7, Construcción
138,2021,2239124,6,Badajoz,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
139,2020,1925604,6,Badajoz,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
140,2019,2274580,6,Badajoz,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
141,2021,2390063,6,Badajoz,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
142,2020,2284369,6,Badajoz,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
143,2019,2278521,6,Badajoz,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
144,2021,3630016,6,Badajoz,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
145,2020,3639953,6,Badajoz,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
146,2019,3719584,6,Badajoz,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
147,2021,154128,7,"Balears, Illes",1," Agricultura, ganadería, silvicultura y pesca"
148,2020,148537,7,"Balears, Illes",1," Agricultura, ganadería, silvicultura y pesca"
149,2019,181850,7,"Balears, Illes",1," Agricultura, ganadería, silvicultura y pesca"
150,2021,1806386,7,"Balears, Illes",2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
151,2020,1674865,7,"Balears, Illes",2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
152,2019,1791348,7,"Balears, Illes",2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
153,2021,775341,7,"Balears, Illes",3, - De las cuales: Industria manufacturera
154,2020,739139,7,"Balears, Illes",3, - De las cuales: Industria manufacturera
155,2019,843963,7,"Balears, Illes",3, - De las cuales: Industria manufacturera
156,2021,2146768,7,"Balears, Illes",7, Construcción
157,2020,2151854,7,"Balears, Illes",7, Construcción
158,2019,2447974,7,"Balears, Illes",7, Construcción
159,2021,8876564,7,"Balears, Illes",4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
160,2020,6310676,7,"Balears, Illes",4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
161,2019,11653261,7,"Balears, Illes",4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
162,2021,8116266,7,"Balears, Illes",5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
163,2020,7758796,7,"Balears, Illes",5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
164,2019,8527791,7,"Balears, Illes",5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
165,2021,6070699,7,"Balears, Illes",6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
166,2020,5860780,7,"Balears, Illes",6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
167,2019,6175425,7,"Balears, Illes",6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
168,2021,723577,8,Barcelona,1," Agricultura, ganadería, silvicultura y pesca"
169,2020,823535,8,Barcelona,1," Agricultura, ganadería, silvicultura y pesca"
170,2019,895896,8,Barcelona,1," Agricultura, ganadería, silvicultura y pesca"
171,2021,32134195,8,Barcelona,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
172,2020,29055554,8,Barcelona,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
173,2019,31248511,8,Barcelona,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
174,2021,27764672,8,Barcelona,3, - De las cuales: Industria manufacturera
175,2020,25263528,8,Barcelona,3, - De las cuales: Industria manufacturera
176,2019,27412031,8,Barcelona,3, - De las cuales: Industria manufacturera
177,2021,7393843,8,Barcelona,7, Construcción
178,2020,7182337,8,Barcelona,7, Construcción
179,2019,8229130,8,Barcelona,7, Construcción
180,2021,42489644,8,Barcelona,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
181,2020,36678272,8,Barcelona,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
182,2019,46043711,8,Barcelona,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
183,2021,42975113,8,Barcelona,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
184,2020,41181032,8,Barcelona,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
185,2019,43372364,8,Barcelona,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
186,2021,31456531,8,Barcelona,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
187,2020,31242312,8,Barcelona,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
188,2019,32731702,8,Barcelona,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
189,2021,70267,48,Bizkaia,1," Agricultura, ganadería, silvicultura y pesca"
190,2020,73997,48,Bizkaia,1," Agricultura, ganadería, silvicultura y pesca"
191,2019,80500,48,Bizkaia,1," Agricultura, ganadería, silvicultura y pesca"
192,2021,6216317,48,Bizkaia,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
193,2020,5610559,48,Bizkaia,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
194,2019,6422101,48,Bizkaia,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
195,2021,4877367,48,Bizkaia,3, - De las cuales: Industria manufacturera
196,2020,4163901,48,Bizkaia,3, - De las cuales: Industria manufacturera
197,2019,4878649,48,Bizkaia,3, - De las cuales: Industria manufacturera
198,2021,2531960,48,Bizkaia,7, Construcción
199,2020,2501960,48,Bizkaia,7, Construcción
200,2019,2775398,48,Bizkaia,7, Construcción
201,2021,7637754,48,Bizkaia,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
202,2020,6701292,48,Bizkaia,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
203,2019,8332364,48,Bizkaia,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
204,2021,8394418,48,Bizkaia,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
205,2020,8114266,48,Bizkaia,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
206,2019,8238406,48,Bizkaia,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
207,2021,7219464,48,Bizkaia,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
208,2020,7045343,48,Bizkaia,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
209,2019,7497822,48,Bizkaia,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
210,2021,537609,9,Burgos,1," Agricultura, ganadería, silvicultura y pesca"
211,2020,478764,9,Burgos,1," Agricultura, ganadería, silvicultura y pesca"
212,2019,423763,9,Burgos,1," Agricultura, ganadería, silvicultura y pesca"
